College,CITY,State,ZIP,Website,REGION,LATITUDE,LONGITUDE,ADDIMISSION_RATE,SAT_READING_MED,SAT_MATH_MED,SAT_WRITING_MED,ACT_CHEM_MED,ACT_ENG_MED,ACT_MATH_MED,SAT_AVG,UNDERGRADUATES,UNDERGRADUATE_WHITE,UNDERGRADUATE_BLACK,UNDERGRADUATE_HISPANIC,UNDERGRADUATE_ASIAN,UNDERGRADUATE_AIAN,UNDERGRADUATE_NHPI,ATTENDENCE_COST,TUITIONFEE_IN,TUITIONFEE_OUT,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MARRIED,DEPENDENT,VETERAN,FIRST_GEN
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,5,34.783368,-86.568502,0.5256,424,420,420,17,17,17,827,4206,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,21475,9096,16596,15000,33888,11500,14413,18255,17250,17500,14331,0.016594232,0.870406954,0,0.394033838
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,5,33.50223,-86.80917,0.8569,570,565,0,24,25,23,1107,11383,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,20621,7510,17062,14382,21941.5,10000,14725,14692.5,14000,14725,14000,0.103455454,0.688384679,0.003330558,0.357158862
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,5,32.362609,-86.17401,0,0,0,0,0,0,0,0,291,0.299,0.4192,0.0069,0.0034,0,0,16370,6900,6900,9500,23370,8687.5,8563,15750,13882,10875,8563,0.238670695,0.105740181,0,0.602409639
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,5,34.722818,-86.63842,0.8203,595,590,0,27,28,26,1219,5451,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,21107,9158,21232,15750,24097,9500,17107,16938,14000,16500,15245.5,0.132094425,0.651431442,0.009040683,0.342919154
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu,5,32.364317,-86.295677,0.5326,425,430,0,18,17,17,851,4811,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,18184,8720,15656,14362,33118.5,11500,14250,15019,14250,15500,13738,0.00977089,0.856469003,0,0.380557649
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,5,33.2144,-87.545766,0.5105,555,565,540,27,28,25,1185,29851,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,26400,9826,24950,17375,23750,10000,18250,17250,16500,17750,16513.5,0.059157212,0.851586015,0.001968048,0.244552058
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,5,32.924429,-85.94653,0,0,0,0,0,0,0,0,1592,0.7255,0.2613,0.0044,0.0025,0.0044,0,12054,3491,6576,6506,16127,6113,7174.5,6239,4500,7381.5,5500,0.103369066,0.605666156,0,0.560565871
Athens State University,Athens,AL,35611,www.athens.edu,5,34.805625,-86.96514,0,0,0,0,0,0,0,0,2991,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0,0,0,12750,18595,8699,12833,13629,12258,12832,12666,0.36066624,0.287636131,0,0.471594798
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,5,32.369939,-86.177351,0.8017,486,509,0,22,22,20,1009,4304,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,17903,9080,19640,9500,21335,6750,9500,10500,10250,10500,9500,0.077324066,0.722415291,0.006081668,0.387300049
Auburn University,Auburn,AL,36849,www.auburn.edu,5,32.604685,-85.482782,0.8347,575,588,565,27,28,26,1215,20514,0.8507,0.0704,0.0248,0.0227,0.0074,0,25282,10200,27384,17500,21831,8250,16500,18750,17475,18000,17000,0.025568182,0.911276224,0.003496504,0.198873874
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,5,33.515453,-86.853636,0.5339,560,560,0,27,28,26,1181,1180,0.7983,0.1102,0.0195,0.0517,0.0102,0,45162,31708,31708,21500,27000,10500,19750,25717,21500,26151,19750,0,0.9756691,0,0.2
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu,5,32.42391,-85.031485,0,0,0,0,0,0,0,0,1727,0.4661,0.4372,0.0492,0.0127,0.0023,0.0035,6860,4320,7710,5500,9000,5499.5,5500,5800,5500,6122,4638,0.199384615,0.499692308,0.008,0.442321302
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/,5,32.42443,-87.023531,0.5328,420,400,0,21,21,18,942,322,0.028,0.8758,0.0373,0.0093,0,0,17603,10320,10320,9500,32000,9500,9500,0,0,11000,8250,0,0.835820896,0,0.533477322
South University-Montgomery,Montgomery,AL,36116,southuniversity.edu,5,32.342684,-86.216488,0,0,0,0,0,0,0,0,522,0.3046,0.6054,0.0153,0.0153,0.0153,0.0096,27870,16360,16360,9500,25167,6334,8171,10559,12387.5,9500,9500,0.238482504,0.228020046,0.050246176,0.487443106
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu,5,31.297496,-85.836956,0,0,0,0,0,0,0,0,1729,0.6408,0.2435,0.0509,0.0202,0.0081,0.0029,8676,3976,7140,5774,8273,5500,6164,5500,5500,5500,6332,0.159482759,0.555316092,0.00862069,0.453478625
James H Faulkner State Community College,Bay Minette,AL,36507-2698,www.faulknerstate.edu,5,30.852045,-87.779758,0,0,0,0,0,0,0,0,4286,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,11194,4260,7650,5500,11000,5500,5500,5500,5500,5832,5215,0.128901734,0.617341041,0.005780347,0.458454575
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu,5,32.384181,-86.21641,0,0,0,0,0,0,0,0,2367,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,30116,18750,18750,15500,22000,12500,16600,14025,13500,18667,10500,0.150912997,0.419978518,0,0.43133583
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu,5,33.991866,-85.991299,0,0,0,0,0,0,0,0,4917,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,10243,3168,5880,0,0,0,0,0,0,0,0,0.158305798,0.500150195,0.008110544,0.536089699
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com,5,34.27871,-86.196931,0,0,0,0,0,0,0,0,115,0.8957,0.0348,0.0696,0,0,0,0,0,0,5500,5500,5972.5,6153,0,0,0,0,0.217105263,0.480263158,0,0.550387597
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu,5,31.316086,-85.46355,0,0,0,0,0,0,0,0,4293,0.6273,0.324,0.0221,0.0072,0.0049,0.0009,8735,3960,7350,0,0,0,0,0,0,0,0,0.16223977,0.526561378,0.009691314,0.529711375
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu,5,34.07341,-86.781745,0,0,0,0,0,0,0,0,4920,0.863,0.0612,0.0362,0.0065,0.0089,0,11703,4260,7650,8000,11186,6865,8000,8000,6750,8708,5500,0.171041246,0.584078454,0.00374964,0.529017857
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu,5,32.445611,-87.01324,0,0,0,0,0,0,0,0,1513,0.1956,0.7449,0.0026,0.004,0.0013,0,13756,3960,7350,0,0,0,0,0,0,0,0,0.049311095,0.638868746,0,0.505
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/,5,33.468105,-86.832299,1,0,0,0,0,0,0,0,302,0.3543,0.5265,0.0166,0.0066,0,0,26200,12790,12790,10628,23216.5,7750,9500,14750,14995,10971,9607,0.238444261,0.139969264,0.022461284,0.527798045
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu,5,32.350939,-86.285313,0.5839,510,490,0,22,22,21,1026,1149,0.6388,0.1993,0.0252,0.0078,0.0122,0.0017,32370,24550,24550,16701.5,26230,9014.5,14764,19120,15764,21500,12000,0.090643275,0.709064328,0,0.327559055
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu,5,34.859089,-87.662062,1,0,0,0,0,0,0,0,62,0.7419,0.1129,0.0484,0,0.0323,0.0161,18631,9792,9792,9875,0,0,0,0,0,0,0,0.5,0.34375,0,0
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu,5,34.772116,-86.573817,0,0,0,0,0,0,0,0,974,0.3337,0.5965,0.0246,0.0082,0.0113,0.001,14779,3384,6096,0,0,0,0,0,0,0,0,0.169040836,0.308641975,0,0.593679458
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,5,33.822128,-85.766644,0.8326,495,485,0,23,24,21,1041,7060,0.6834,0.2382,0.0132,0.0055,0.0072,0.001,20830,7092,13884,15871,23000,11000,17234,16200,14000,17500,14137,0.110347086,0.729862475,0,0.413028169
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu,5,31.101995,-87.085829,0,0,0,0,0,0,0,0,1033,0.5857,0.2982,0.0077,0.0252,0.0252,0,9496,3968,7358,0,0,0,0,0,0,0,0,0.166431594,0.562764457,0,0.550082102
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffstateonline.com,5,33.652439,-86.707387,0,0,0,0,0,0,0,0,7443,0.6696,0.2246,0.0486,0.0183,0.0024,0.0008,13418,4320,7710,4500,8916.5,3500,3500,4500,5500,4500,4000,0.147366031,0.551089918,0.003405995,0.48737567
John C Calhoun State Community College,Tanner,AL,35671,www.calhoun.edu,5,34.65428,-86.949131,0,0,0,0,0,0,0,0,9380,0.6528,0.194,0.0435,0.0257,0.0182,0.0006,10052,4260,7650,5500,10500,5500,5500,5500,5500,5750,5500,0.163299351,0.544392956,0.007228916,0.491895262
Judson College,Marion,AL,36756,www.judson.edu,5,32.630526,-87.316127,0.6525,0,0,0,0,0,0,0,376,0.7553,0.1622,0.016,0.0106,0.0053,0,28840,16258,16258,16797.5,26000,14000,14250,19000,19500,0,0,0.123239437,0.478873239,0,0.460580913
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,www.lawsonstate.edu,5,33.451673,-86.890234,0,0,0,0,0,0,0,0,2905,0.1511,0.7384,0.0093,0.0055,0.0017,0.0017,12597,4290,7710,0,0,0,0,0,0,0,0,0.066536204,0.567123288,0.012133072,0.438644689
University of West Alabama,Livingston,AL,35470,www.uwa.edu,5,32.59244,-88.186077,0.7199,0,0,0,21,21,20,990,1916,0.4421,0.4055,0.0224,0.0016,0.0016,0.001,17839,8018,14886,12500,24253,9500,13182,12000,9699.5,13834,11000,0.053475936,0.784313726,0,0.397014925
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,www.lbwcc.edu,5,31.322947,-86.452262,0,0,0,0,0,0,0,0,1393,0.692,0.2728,0.0122,0.0057,0.0043,0,13423,4230,7620,0,0,0,0,0,0,0,0,0.137719298,0.656140351,0,0.524439919
Marion Military Institute,Marion,AL,36756-3207,www.marionmilitary.edu,5,32.622359,-87.317998,0.6139,550,558,0,22,22,21,1055,433,0.5727,0.2263,0.1016,0.0346,0.0115,0.0046,16520,8778,14778,5500,11500,5500,5500,5500,5500,6500,5500,0,0.906403941,0,0.25945946
Miles College,Fairfield,AL,35064-2621,www.miles.edu,5,33.481306,-86.908605,0,0,0,0,0,0,0,0,1778,0.0169,0.9719,0.0028,0,0,0.0006,22436,11604,11604,12250,36789.5,9500,11505,14259.5,14250,16750,9500,0.008480104,0.837573386,0,0.42406015
University of Mobile,Mobile,AL,36613-2842,www.umobile.edu,5,30.793247,-88.128934,0.5847,470,465,0,22,23,20,1014,1460,0.6479,0.211,0.0158,0.0048,0.0178,0,31220,19475,19475,21950,27000,20000,25000,20500,19450,23750,18750,0.096205962,0.700542005,0,0.353293413
University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu,5,33.10625,-86.865099,0.743,548,528,533,23,25,21,1070,2644,0.7266,0.1384,0.031,0.0064,0.0061,0,22440,10660,21220,15110,23266,11000,15000,17000,15000,16061,14250,0.058355438,0.816091954,0,0.371014493
Northwest-Shoals Community College,Muscle Shoals,AL,35661,www.nwscc.edu,5,34.739567,-87.67733,0,0,0,0,0,0,0,0,3304,0.7912,0.125,0.0339,0.0036,0.0088,0.0006,11000,4231,7621,4750,11250,4500,5000,4500,4250,5250,4500,0.142857143,0.619854722,0.004439064,0.54281768
University of North Alabama,Florence,AL,35632-0001,www.una.edu,5,34.80658,-87.680999,0.6788,506,484,0,22,23,21,1029,5485,0.7123,0.1384,0.0272,0.0047,0.0093,0.0009,15494,7412,13268,12638,21500,8250,12000,13405,13552,14000,11238,0.07979408,0.787644788,0,0.389117513
Northeast Alabama Community College,Rainsville,AL,35986,www.nacc.edu,5,34.545471,-85.911664,0,0,0,0,0,0,0,0,2225,0.867,0.0225,0.0665,0.0054,0.0265,0.0009,8145,4260,7650,3500,4500,3023,3500,3475,4650,3500,3400,0.180857676,0.611559975,0,0.594380404
Oakwood University,Huntsville,AL,35896,www.oakwood.edu,5,34.756628,-86.661628,0.4787,476,450,0,20,20,19,928,1878,0.0059,0.8514,0.0234,0.0016,0.0059,0,36064,16720,16720,23500,27250,21250,22750,24500,24250,25000,21500,0.042682927,0.818292683,0,0.187584346
Alabama Southern Community College,Monroeville,AL,36460,www.ascc.edu,5,31.488925,-87.326352,0,0,0,0,0,0,0,0,1180,0.5441,0.4203,0.0059,0.0042,0.011,0,10708,4260,7650,0,0,0,0,0,0,0,0,0.076487252,0.71388102,0,0.534351145
Prince Institute-Southeast,Elmhurst,IL,60126,princeinstitute.edu,3,41.928952,-87.962922,0,0,0,0,0,0,0,0,84,0.7976,0.131,0.0714,0,0,0,27183,9685,9685,15834,20992,14405,13863,18012,16693,0,0,0.330357143,0.116071429,0,0.346534654
Reid State Technical College,Evergreen,AL,36401,www.rstc.edu,5,31.46071,-86.964486,0,0,0,0,0,0,0,0,425,0.5106,0.4588,0.0071,0.0024,0.0094,0,9158,4320,7710,0,0,0,0,0,0,0,0,0.155,0.43,0,0.556213018
Bishop State Community College,Mobile,AL,36603-5898,www.bishop.edu,5,30.693972,-88.056982,0,0,0,0,0,0,0,0,2927,0.2504,0.671,0.0191,0.0157,0.0075,0.0014,9955,4260,7650,0,0,0,0,0,0,0,0,0.088782051,0.53525641,0.007051282,0.476635514
Samford University,Birmingham,AL,35229-2240,www.samford.edu,5,33.464578,-86.790932,0.5954,565,558,555,26,27,24,1165,3033,0.8183,0.0656,0.06,0.0092,0.002,0,40900,27324,27324,17250,23000,9500,18750,18123.5,15674.5,17187.5,17500,0.035759898,0.867177522,0,0.146471372
Selma University,Selma,AL,36701,selmauniversity.edu,5,32.420358,-87.033826,0,0,0,0,0,0,0,0,472,0.0106,0.9703,0,0,0,0,12621,6680,6680,5050,0,0,0,0,0,5050,5500,0.051162791,0.458139535,0,0.61746988
Shelton State Community College,Tuscaloosa,AL,35405-8522,www.sheltonstate.edu,5,33.120531,-87.56148,0,0,0,0,0,0,0,0,4755,0.5613,0.3466,0.0036,0.0084,0.004,0.0002,13426,3960,7350,0,0,0,0,0,0,0,0,0.069173466,0.636041149,0.007804186,0.488143908
Snead State Community College,Boaz,AL,35957-0734,www.snead.edu,5,34.201247,-86.169479,0,0,0,0,0,0,0,0,2098,0.7827,0.0648,0.0825,0.0076,0.0238,0,10376,4320,7710,3500,6374,3500,3500,3500,3955,3500,3500,0.16098379,0.623253214,0,0.545154911
University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu,5,30.695081,-88.18189,0.8335,510,518,485,23,24,22,1048,11267,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,18525,7188,14076,13000,24711,9294,13000,14000,12500,14500,11100,0.084598699,0.753303096,0.003549596,0.354397951
Spring Hill College,Mobile,AL,36608-1791,www.shc.edu,5,30.694751,-88.138199,0.5177,535,538,0,25,25,23,1116,1215,0.6733,0.1556,0.0626,0.0107,0.0074,0,44970,32468,32468,20500,27000,15738,21750,20500,20000,21995,16125,0,0.941353384,0,0.289348172
Southeastern Bible College,Birmingham,AL,35244-2083,www.sebc.edu,5,33.378935,-86.749045,1,0,0,0,20,21,18,930,170,0.6176,0.3118,0.0176,0.0059,0.0059,0,17066,11370,11370,20000,24000,14000,19582,20275,19000,19316,21150,0.229357798,0.311926606,0,0.458333333
Stillman College,Tuscaloosa,AL,35401,www.stillman.edu,5,33.199228,-87.585242,0.5901,448,424,0,17,16,16,811,1056,0.0748,0.9034,0.017,0.0019,0,0,26185,15865,15865,15575,38218,9500,16200,17500,9500,19000,14250,0,0.877104377,0,0.403441683
Talladega College,Talladega,AL,35160,www.talladega.edu,5,33.434258,-86.113675,0,0,0,0,0,0,0,0,819,0.0647,0.8742,0.044,0.0024,0,0,20918,12509,12509,15625,27745,9500,14250,19521,23125,19292,12863,0,0.821428571,0,0.452861953
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,www.trenholmstate.edu,5,32.350109,-86.343057,0,0,0,0,0,0,0,0,1230,0.3951,0.5756,0.0106,0.013,0,0,9912,3336,6048,0,0,0,0,0,0,0,0,0.129453682,0.505938242,0.021377672,0.46991404
Troy University,Troy,AL,36082-0001,www.troy.edu,5,31.800128,-85.950191,0.4414,0,0,0,23,23,21,1050,15025,0.5132,0.3386,0.0329,0.0078,0.0082,0.0011,17354,7564,14092,14500,25000,11016.5,14250,15558,13824,15750,12250,0.197893813,0.444346936,0.006143045,0.425323598
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu,5,32.431021,-85.710315,0.4922,455,465,0,22,20,20,978,2588,0.0035,0.7736,0.0035,0.0015,0.0004,0,32853,19570,19570,21500,33500,14700,21000,23500,19625,24000,19500,0,0.9272,0,0.246031746
United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu,5,30.639329,-87.91163,0,0,0,0,0,0,0,0,90,0.4333,0.1222,0.0667,0.0222,0,0,0,0,0,10225,25503.5,6656,9950,11323.5,9157,8000,10500,0.43,0.2,0,0.438202247
Bevill State Community College,Jasper,AL,35501,www.bscc.edu,5,33.835785,-87.265034,0,0,0,0,0,0,0,0,3210,0.8009,0.1573,0.014,0.0034,0.0016,0,13084,4290,7680,0,0,0,0,0,0,0,0,0.139451192,0.574898785,0,0.579551382
University of Alaska Anchorage,Anchorage,AK,99508,www.uaa.alaska.edu,8,61.189554,-149.826135,0,0,0,0,0,0,0,0,12865,0.5747,0.0358,0.0761,0.0778,0.0653,0.0086,13610,5494,16466,10261,19449.5,9250,11000,10500,8250,10500,9531,0.193004636,0.509060261,0.008849558,0.418586984
Alaska Bible College,Palmer,AK,99645,www.akbible.edu/,8,61.59843,-149.111341,0,0,0,0,0,0,0,0,27,0.8519,0,0.037,0,0.0741,0,15990,9300,9300,0,0,0,0,0,0,0,0,0,0,0,0
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,www.uaf.edu,8,64.856483,-147.822943,0,0,0,0,0,0,0,0,5536,0.4259,0.021,0.0522,0.0126,0.1284,0.0027,15340,5246,16238,10283,19355,8598.5,11000,11000,8312.5,9828,10981,0.242959427,0.460143198,0.021002387,0.417391304
University of Alaska Southeast,Juneau,AK,99801-8697,www.uas.alaska.edu,8,58.38427,-134.636346,0,0,0,0,0,0,0,0,1428,0.4748,0.0119,0.0623,0.0357,0.1029,0.0147,15284,5901,16705,9804,16875,8822,11251,10500,7550,10493,9500,0.207317073,0.404181185,0,0.378486056
Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu,8,61.191235,-149.804242,0.4207,555,503,530,23,20,21,1054,275,0.5309,0.0291,0.0364,0.0255,0.1855,0.0109,42640,19610,19610,18750,23250,12500,18000,19924,18750,18750,18000,0.170731707,0.455284553,0,0
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,www.avtec.edu/,8,60.110727,-149.444573,0,0,0,0,0,0,0,0,889,0.5388,0.0112,0.0427,0.0157,0.1879,0.0112,0,0,0,5500,0,0,9055,0,0,5499,6422.5,0.15270936,0.369458128,0,0.471264368
Charter College-Anchorage,Anchorage,AK,99508,www.chartercollege.edu,8,61.195786,-149.840178,0,0,0,0,0,0,0,0,3256,0.4373,0.0599,0.3093,0.0123,0.0405,0.0577,30854,19532,19532,10047,13875,6334,10500,9500,9500,11438,9500,0.264749263,0.254609145,0.01050885,0.547452548
Alaska Career College,Anchorage,AK,99507-1033,www.alaskacareercollege.edu,8,61.181443,-149.856954,0,0,0,0,0,0,0,0,479,0.38,0.096,0.1002,0.1983,0.1733,0.0084,0,0,0,7832.5,8994,4750,8423,7199,6156,7832.5,7547.5,0.220338983,0.271186441,0.01303781,0.461883408
Everest College-Phoenix,Phoenix,AZ,85021-1641,www.everestcollegephoenix.edu,6,33.580985,-112.113845,0,0,0,0,0,0,0,0,4102,0.3162,0.4405,0.0763,0.0017,0.0207,0.0046,26404,12204,12204,9481.5,9500,8640,9186,9500,9500,9500,7429,0.206936802,0.124895781,0.013840254,0.609868573
Collins College,Phoenix,AZ,85040,www.collinscollege.edu,6,33.40334,-111.98646,0,0,0,0,0,0,0,0,83,0.3253,0.0843,0.1566,0,0.0241,0,0,0,0,35160,47000,20000,33631,41000,36126,33595,36824.5,0.050925926,0.49537037,0,0.430232558
Empire Beauty School-Paradise Valley,Phoenix,AZ,85032,www.empire.edu,6,33.602593,-111.976357,0,0,0,0,0,0,0,0,25,0.76,0.04,0.12,0,0,0.04,0,0,0,7752,9588,4380,8470.5,7350,6222,7659,9500,0.144893112,0.375,0.006828979,0.490079365
Empire Beauty School-Tucson,Tucson,AZ,85716,www.empire.edu,6,32.235657,-110.927187,0,0,0,0,0,0,0,0,126,0.2143,0.0873,0.5794,0.0159,0.0873,0.0079,0,0,0,7899,9833,4665,7452,8100,8044,7851,8167,0.13162171,0.373415665,0.01039974,0.573511037
Thunderbird School of Global Management,Glendale,AZ,85306-6000,www.thunderbird.edu,6,33.620887,-112.180861,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Indian College Inc,Phoenix,AZ,85021,www.aicag.edu/,6,33.577738,-112.092247,0,0,0,0,0,0,0,0,89,0.0449,0.0562,0.1461,0.0225,0.6854,0.0449,23387,11700,11700,10000,18835,5500,0,0,0,14000,9500,0,0.53968254,0,0.547169811
American Institute of Technology,Phoenix,AZ,85043-4729,www.ait-schools.com,6,33.442262,-112.175304,0,0,0,0,0,0,0,0,266,0.4737,0.2481,0.1729,0.0226,0.0113,0.0038,0,0,0,6030,6135,5710,6030,6083.5,3666,6232,5945,0.336673347,0.06746827,0.11489646,0.596757852
Carrington College-Phoenix,Phoenix,AZ,85051-4063,www.carrington.edu,6,33.560821,-112.115546,0.9904,0,0,0,0,0,0,0,617,0.2674,0.0616,0.5754,0.0113,0.0713,0,0,0,0,9500,9500,4829.5,9499,9500,9500,9500,9500,0.179625699,0.339957554,0.010804553,0.559588033
Carrington College-Mesa,Mesa,AZ,85210,www.carrington.edu,6,33.39207,-111.855281,1,0,0,0,0,0,0,0,718,0.3677,0.0543,0.3886,0.0195,0.1476,0.0056,0,0,0,9500,9500,4829.5,9499,9500,9500,9500,9500,0.179625699,0.339957554,0.010804553,0.559588033
Carrington College-Tucson,Tucson,AZ,85745,www.carrington.edu,6,32.224,-110.982961,1,0,0,0,0,0,0,0,424,0.2759,0.0542,0.5943,0.0071,0.0425,0.0024,0,0,0,9500,9500,4829.5,9499,9500,9500,9500,9500,0.179625699,0.339957554,0.010804553,0.559588033
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,www.collegeamerica.edu,6,35.194607,-111.65739,0,0,0,0,0,0,0,0,176,0.1989,0.0114,0.125,0,0.6307,0,28692,16968,16968,16633,25607.5,9500,15884.5,20000,17647,20000,9944,0.177944862,0.322472849,0.020050125,0.578763127
Arizona Academy of Beauty-East,Tucson,AZ,85712,www.arizonaacademy.com,6,32.237253,-110.872305,0,0,0,0,0,0,0,0,32,0.4688,0.0625,0.3438,0,0,0.0625,0,0,0,5500,5500,0,0,0,0,0,0,0.288135593,0,0,0.541666667
Arizona Automotive Institute,Glendale,AZ,85301-3579,www.aai.edu,6,33.537249,-112.157344,0,0,0,0,0,0,0,0,628,0.3774,0.0812,0.3328,0.0048,0.1274,0.043,0,0,0,9500,13000,9500,9500,9500,9500,9500,9500,0.223715415,0.268774704,0.033992095,0.551130248
Brookline College-Phoenix,Phoenix,AZ,85021,www.brooklinecollege.edu,6,33.525384,-112.15007,0,0,0,0,0,0,0,0,1357,0.3478,0.199,0.3088,0.0214,0.0575,0.0037,0,0,0,9500,9500,5022,9500,9500,9500,9500,9500,0.209058271,0.244683789,0.007732671,0.556005895
Arizona State University-Tempe,Tempe,AZ,85287,www.asu.edu/,6,33.422247,-111.934629,0.8433,565,580,0,25,25,26,1145,39316,0.5457,0.0394,0.188,0.0686,0.0133,0.0024,22312,10157,24503,15034.5,20229,9500,15651,15522.5,14590,15500,15000,0.147620004,0.601292094,0.007029524,0.380477941
Arizona Western College,Yuma,AZ,85365-8834,www.azwestern.edu,6,32.689306,-114.495968,0,0,0,0,0,0,0,0,7218,0.1793,0.0292,0.6952,0.01,0.0114,0.003,14247,2480,8085,4250,5500,4000,4750,3500,2750,5000,3500,0.162649294,0.623669924,0.00781759,0.634075788
University of Arizona,Tucson,AZ,85721-0066,www.arizona.edu,6,32.232071,-110.950769,0.7462,0,0,0,0,0,0,0,32646,0.5323,0.0355,0.2535,0.0555,0.0115,0.0027,24617,10957,29421,13279,19000,8500,13500,13654,13000,13404.5,13250,0.043594306,0.839501779,0.004092527,0.320973349
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,www.suva.edu,6,32.252384,-110.927321,0,0,0,0,0,0,0,0,161,0.4534,0.0435,0.3168,0.0062,0.0311,0,44388,23069,23069,35500,49750,20125,40000,34500,32537,40250,31250,0.121212121,0.515151515,0,0
Central Arizona College,Coolidge,AZ,85128-9030,www.centralaz.edu,6,32.957092,-111.652501,0,0,0,0,0,0,0,0,5275,0.461,0.072,0.2709,0.0199,0.0476,0.0063,10163,2400,10440,5500,9993,5014.5,4956.5,5882,5500,5500,5100,0.198958333,0.457291667,0.008072917,0.488847
Brown Mackie College-Tucson,Tucson,AZ,85712,www.brownmackie.edu,6,32.236736,-110.895086,0,0,0,0,0,0,0,0,611,0.3552,0.1211,0.4354,0.018,0.0573,0.0033,24379,13203,13203,12004.5,22141.5,6625.5,11093.5,14326,13000,12576,10349,0.173287409,0.295522388,0.021239954,0.510073875
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,www.charlesofitaly.edu,6,34.475275,-114.328134,0,0,0,0,0,0,0,0,54,0.7593,0.0185,0.2037,0,0.0185,0,0,0,0,6500,7389,4125,5948,0,0,0,0,0.244897959,0.357142857,0,0.56626506
Cochise County Community College District,Douglas,AZ,85607-6190,www.cochise.edu,6,31.365757,-109.690422,0,0,0,0,0,0,0,0,3759,0.4185,0.0492,0.457,0.013,0.0074,0.0067,10243,1800,6000,3952,6500,3634.5,3839.5,4289,4000,4326.5,3500,0.190799791,0.529534762,0.013068479,0.520050125
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,www.empire.edu,6,35.197151,-111.625936,0,0,0,0,0,0,0,0,60,0.5167,0.0333,0.1333,0,0.2833,0,0,0,0,7775,10050,4749.5,7350,8028,8080,7823,7506.5,0.131177547,0.369127517,0.005186089,0.519570223
Empire Beauty School-Chandler,Chandler,AZ,85224,www.empire.edu,6,33.347586,-111.860423,0,0,0,0,0,0,0,0,97,0.268,0.2165,0.3918,0.0206,0.0722,0.0103,0,0,0,7775,10050,4749.5,7350,8028,8080,7823,7506.5,0.131177547,0.369127517,0.005186089,0.519570223
